Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",184.757000,-105.487000,-90.000000,top
"C2","22uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",196.000000,-105.675000,-90.000000,top
"D1","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",183.360000,-109.551000,180.000000,top
"D2","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",197.330000,-109.551000,0.000000,top
"R1","1.5k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",182.217000,-105.487000,-90.000000,top
"R2","510","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",198.727000,-105.635500,-90.000000,top
"U1","AP2114H-3.3TRG1","SOT-223-3_TabPin2",190.000000,-108.000000,-90.000000,top
