x-axis,1,REF1
second,Volt,Volt
+310.00000E-06,+3.23228640109E+00,+3.26782624065E+00
+310.01600E-06,+3.22726127552E+00,+3.22659444107E+00
+310.03200E-06,+3.15690951748E+00,+3.18793962896E+00
+310.04800E-06,+3.23228640109E+00,+3.18793962896E+00
+310.06400E-06,+3.23228640109E+00,+3.19257820641E+00
+310.08000E-06,+3.23228640109E+00,+3.23381000600E+00
+310.09600E-06,+3.23228640109E+00,+3.26834163815E+00
+310.11200E-06,+3.23228640109E+00,+3.26834163815E+00
+310.12800E-06,+3.23228640109E+00,+3.25957988074E+00
+310.14400E-06,+3.23228640109E+00,+3.21834808115E+00
+310.16000E-06,+3.23228640109E+00,+3.19876297635E+00
+310.17600E-06,+3.23228640109E+00,+3.23999477593E+00
+310.19200E-06,+3.23228640109E+00,+3.25545670078E+00
+310.20800E-06,+3.23228640109E+00,+3.21422490119E+00
+310.22400E-06,+3.23228640109E+00,+3.18793962896E+00
+310.24000E-06,+3.23228640109E+00,+3.18793962896E+00
+310.25600E-06,+3.23228640109E+00,+3.20494774629E+00
+310.27200E-06,+3.23228640109E+00,+3.24617954587E+00
+310.28800E-06,+3.23228640109E+00,+3.24927193084E+00
+310.30400E-06,+3.23228640109E+00,+3.20804013126E+00
+310.32000E-06,+3.23228640109E+00,+3.20907092624E+00
+310.33600E-06,+3.23228640109E+00,+3.25030272583E+00
+310.35200E-06,+3.23228640109E+00,+3.26834163815E+00
+310.36800E-06,+3.23228640109E+00,+3.26834163815E+00
+310.38400E-06,+3.23228640109E+00,+3.26834163815E+00
+310.40000E-06,+3.23731152666E+00,+3.26834163815E+00
+310.41600E-06,+3.30766328471E+00,+3.24102557092E+00
+310.43200E-06,+3.23228640109E+00,+3.19979377134E+00
+310.44800E-06,+3.22726127552E+00,+3.21731728616E+00
+310.46400E-06,+3.15690951748E+00,+3.25854908575E+00
+310.48000E-06,+3.23228640109E+00,+3.26834163815E+00
+310.49600E-06,+3.23228640109E+00,+3.26834163815E+00
+310.51200E-06,+3.23228640109E+00,+3.23484080099E+00
+310.52800E-06,+3.23228640109E+00,+3.19360900140E+00
+310.54400E-06,+3.23228640109E+00,+3.22350205610E+00
+310.56000E-06,+3.23228640109E+00,+3.26473385568E+00
+310.57600E-06,+3.23228640109E+00,+3.26834163815E+00
+310.59200E-06,+3.23228640109E+00,+3.26834163815E+00
+310.60800E-06,+3.23228640109E+00,+3.22865603105E+00
+310.62400E-06,+3.23228640109E+00,+3.18793962896E+00
+310.64000E-06,+3.23228640109E+00,+3.18793962896E+00
+310.65600E-06,+3.23228640109E+00,+3.18793962896E+00
+310.67200E-06,+3.23228640109E+00,+3.18793962896E+00
+310.68800E-06,+3.23228640109E+00,+3.19257820641E+00
+310.70400E-06,+3.23228640109E+00,+3.23381000599E+00
+310.72000E-06,+3.23228640109E+00,+3.26164147072E+00
+310.73600E-06,+3.23228640109E+00,+3.22040967113E+00
+310.75200E-06,+3.23228640109E+00,+3.19670138637E+00
+310.76800E-06,+3.23228640109E+00,+3.23793318595E+00
+310.78400E-06,+3.23228640109E+00,+3.26834163815E+00
+310.80000E-06,+3.23228640109E+00,+3.26834163815E+00
+310.81600E-06,+3.23228640109E+00,+3.26834163815E+00
+310.83200E-06,+3.23228640109E+00,+3.26834163815E+00
+310.84800E-06,+3.23228640109E+00,+3.26834163815E+00
+310.86400E-06,+3.23228640109E+00,+3.26834163815E+00
+310.88000E-06,+3.22726127552E+00,+3.26834163815E+00
+310.89600E-06,+3.15690951747E+00,+3.26834163815E+00
+310.91200E-06,+3.23228640109E+00,+3.26834163815E+00
+310.92800E-06,+3.23228640109E+00,+3.26834163815E+00
+310.94400E-06,+3.23228640109E+00,+3.24721034086E+00
+310.96000E-06,+3.23228640109E+00,+3.20597854128E+00
+310.97600E-06,+3.23228640109E+00,+3.21113251622E+00
+310.99200E-06,+3.23228640109E+00,+3.25236431581E+00
+311.00800E-06,+3.23228640109E+00,+3.24308716091E+00
+311.02400E-06,+3.23228640109E+00,+3.20185536132E+00
+311.04000E-06,+3.23228640109E+00,+3.21525569618E+00
+311.05600E-06,+3.23228640109E+00,+3.25648749576E+00
+311.07200E-06,+3.23228640109E+00,+3.23896398095E+00
+311.08800E-06,+3.23228640109E+00,+3.19773218136E+00
+311.10400E-06,+3.23228640109E+00,+3.21937887614E+00
+311.12000E-06,+3.23228640109E+00,+3.26061067572E+00
+311.13600E-06,+3.23228640109E+00,+3.26834163815E+00
+311.15200E-06,+3.23228640109E+00,+3.26834163815E+00
+311.16800E-06,+3.23228640109E+00,+3.26834163815E+00
+311.18400E-06,+3.22726127553E+00,+3.26834163815E+00
+311.20000E-06,+3.15188439190E+00,+3.26834163815E+00
